20,20,,
30,30,,
50,50,,
123,123,,
200,200,,
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Valori permise: „paypal”, „primar” (implicit), your_custom_value (un stil de pagină personalizat de plată din contul dvs. de comerciant-P",module,Magento_Paypal
The background color for the checkout page around the header and payment form.,Culoarea de fundal a paginii de plată din jurul antetului și a formularului de plată.,module,Magento_Paypal
The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.,Culoarea de fundal pentru antetul paginii de plată. Cod de culoare hexazecimal HTML în ASCII cu șase caractere majuscule și minuscule.,module,Magento_Paypal
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","Imaginea din colțul din stânga sus al paginii de plată. Dimensiune maximă 750x90 pixeli. <strong style = ""color: red""> https </strong> solicitată în mod expres.",module,Magento_Paypal
Will appear as a payment option only for customers who have at least one active billing agreement.,Va apărea doar ca opțiune de plată pentru clienții care au cel puțin un contract de facturare activ.,module,Magento_Paypal
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal""> Acceptați plățile prin PayPal! </a>",module,Magento_Paypal
"<p>Help us improve Magento Admin by allowing us to collect usage data.</p>
<p>All usage data that we collect for this purpose cannot be used to individually identify you and is used only to improve the Magento Admin and related products and services.</p>
<p>You can learn more and opt out at any time by following the instructions in <a href=""https://docs.magento.com/m2/ce/user_guide/stores/admin.html"" target=""_blank"" tabindex=""0"">merchant documentation</a>.</p>","<p> Ajutați-ne să îmbunătățim administratorul Magento, permițându-ne să colectăm date de utilizare. </p>
<p> Orice date de utilizare pe care le colectăm în acest scop nu pot și nu pot fi utilizate pentru a vă identifica, utilizate individual numai pentru a îmbunătăți administratorul Magento și produse și servicii conexe. </p>
<p> Puteți afla întotdeauna mai multe și dezabonați-vă urmând instrucțiunile din <a href = ""https://docs.magento.com /m2/ce/user_guide/stores/admin.html ""target ="" _ blank ""tabindex ="" 0 ""> documentația dealerului </a>. </p> urmați.",module,Magento_AdminAnalytics
"<p>We’ll try to show it again the next time you sign in to Magento Admin.</p>
<p>To learn more about new features, see our latest Release Notes in
<a href=""https://devdocs.magento.com/magento-release-information.html""
target=""_blank"">DevDocs' Release Information</a>.
</p>","<p> Vom încerca să îl afișăm din nou data viitoare când vă conectați la Magento Admin. </p>
<p> Pentru a afla mai multe despre noile funcții, consultați cele mai recente note de lansare la
<a href = ""https: // devdocs .magento.com / magento-release-information.html ""
target ="" _ blank ""> Informații despre versiunea DevDocs </a>.
</p>",module,Magento_ReleaseNotification
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style = ""color: red""> Atenție! </strong> Dacă utilizați codul de magazin în URL-uri, este posibil ca sistemul să nu funcționeze corect în unele cazuri, dacă adresele URL fără coduri de magazin sunt specificate în serviciile terților (de exemplu, PayPal etc. .).).",module,Magento_Backend
"Base currency is used for all online payment transactions. The base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Moneda de bază este utilizată pentru toate tranzacțiile online. Domeniul de valută de bază este definit de domeniul de preț al catalogului ("""" Catalog """"> ""Preț"" "">"" ""Domeniu de preț al catalogului"" "").",module,Magento_Directory
formElements/*[name(.)=../../@formElement]/settings/caption,formElements / * [name (.) = .. / .. / @ formElement] / settings / caption,module,Magento_Ui
formElements/*[name(.)=../../@formElement]/settings/description,formElements / * [nume (.) = .. / .. / @ formElement] / setări / descriere,module,Magento_Ui
formElements/*[name(.)=../../@formElement]/settings/title,formElements / * [nume (.) = .. / .. / @ formElement] / setări / titlu,module,Magento_Ui
If you select and save the rule you will be able to generate multiple coupon codes.,"Dacă selectați și salvați regula, veți putea genera mai multe coduri de cupon.",module,Magento_SalesRule
